state,year,pregnancyratelt15,pregnancyrate1517,pregnancyrate1819,pregnancyrate1519,pregnancyratelt20,pregnancyrate2024,pregnancyrate2529,pregnancyrate3034,pregnancyrate3539,pregnancyrate40plus,abortionratelt15,abortionrate1517,abortionrate1819,abortionrate1519,abortionratelt20,abortionrate2024,abortionrate2529,abortionrate3034,abortionrate3539,abortionrate40plus,birthratelt15,birthrate1517,birthrate1819,birthrate1519,birthratelt20,birthrate2024,birthrate2529,birthrate3034,birthrate3539,birthrate40plus,abortionratiolt15,abortionratio1517,abortionratio1819,abortionratio1519,abortionratiolt20,abortionratio2024,abortionratio2529,abortionratio3034,abortionratio3539,abortionratio40plus,pregnancieslt15,pregnancies1517,pregnancies1819,pregnancies1519,pregnancieslt20,pregnancies2024,pregnancies2529,pregnancies3034,pregnancies3539,pregnancies40plus,abortionslt15,abortions1517,abortions1819,abortions1519,abortionslt20,abortions2024,abortions2529,abortions3034,abortions3539,abortions40plus,birthslt15,births1517,births1819,births1519,birthslt20,births2024,births2529,births3034,births3539,births40plus,miscarriageslt15,miscarriages1517,miscarriages1819,miscarriages1519,miscarriageslt20,miscarriages2024,miscarriages2529,miscarriages3034,miscarriages3539,miscarriages40plus,populationlt15,population1517,population1819,population1519,populationlt20,population2024,population2529,population3034,population3539,population40plus,populationsource,population1544,abortionstotal,birthstotal,pregnancyratetotal,birthratetotal,abortionratetotal,abortionratiototal,miscarriagestotal,pregnanciestotal,notes,versiondate
NJ,2016,2.9,15.5,57.4,31.4,32,115.7,169.6,180.5,101.7,25.4,2.1,9,28.4,16.3,16.8,49.3,50.2,30,17.5,6.7,0.5,4.6,21.8,11.2,11.2,51.2,95.3,122.9,68.8,15,4375.8,1944.2,1299.2,1465.9,1491.4,961.4,526.9,243.7,253.9,444.7,160,2640,5970,8610,8770,31890,46520,51140,29250,7250,120,1540,2950,4490,4600,13580,13770,8490,5020,1910,27,791,2269,3060,3087,14124,26141,34832,19769,4290,20,310,750,1060,1080,4180,6610,7820,4460,1050,55234,170524,103915,274439,274439,275624,274247,283326,287486,285424,SEER,1680546,47370,102243,104,60.8,28.2,463.3,25190,174800,, 3 Oct 2024
NJ,2017,2.3,13.5,54.2,28.9,29.4,110.5,165,180.8,102.8,26.7,1.6,7.9,26.5,14.9,15.3,47.1,49.6,31.5,18.3,6.9,0.5,4.1,20.8,10.4,10.5,48.9,92.1,121.8,68.9,15.9,3245,1941,1274.3,1435.3,1452.4,964.2,538.5,258.3,265.6,431.5,130,2280,5600,7880,8010,30250,46050,51130,29800,7510,90,1330,2740,4070,4160,12900,13830,8900,5310,1940,27,685,2152,2837,2864,13381,25692,34451,19972,4487,10,270,700,970,990,3970,6520,7780,4520,1090,55429,169061,103392,272453,272453,273829,279049,282754,289978,281356,SEER,1679419,47040,100847,102.9,60,28,466.4,24870,172760,, 3 Oct 2024
NJ,2018,3.4,14,54.5,29.5,30.2,109.4,160.4,183.9,105.1,27.4,2.6,8.1,27.4,15.5,16,47.3,49.6,32.8,17.8,6.7,0.5,4.3,20.3,10.4,10.5,47.8,88.1,123.2,71.3,16.7,5486.3,1893.1,1348.4,1486.2,1522.8,989.1,563,266.6,249.3,400.5,190,2340,5640,7980,8170,29490,45280,51860,30650,7680,140,1350,2830,4180,4320,12750,14010,9260,5180,1880,26,712,2102,2814,2840,12890,24891,34729,20790,4682,20,280,700,980,1000,3850,6380,7870,4680,1120,55750,167079,103574,270653,270653,269530,282412,281964,291530,280333,SEER,1676422,47410,100822,103.3,60.1,28.3,470.2,24900,173130,, 3 Oct 2024
NJ,2019,2.8,14,54.1,29.3,29.9,105.5,156.8,185.2,105.4,28,2,8.2,27.8,15.7,16.1,45.8,49.3,34,19.3,7.3,0.5,4.1,19.6,10,10.1,45.9,85.5,123.1,70.2,16.6,3854.7,2006.7,1418.4,1567.1,1590.7,996.7,577.4,276.2,275.4,443,150,2320,5560,7890,8040,28090,44580,52440,30680,7880,110,1370,2860,4230,4330,12190,14020,9630,5620,2070,28,682,2015,2697,2725,12232,24291,34872,20413,4673,20,270,690,960,980,3670,6260,7940,4640,1140,54937,166379,102861,269240,269240,266341,284229,283228,290980,281662,SEER,1675680,47870,99206,102.5,59.2,28.6,482.6,24630,171710,, 3 Oct 2024
NJ,2020,2.5,13.5,52.4,28.2,28.7,105.7,152,184.1,107.4,29,1.6,8.4,27.6,15.7,16,47.3,49.5,34.8,19.2,7.7,0.6,3.6,18.4,9.2,9.3,44.7,81.2,121.5,72,17.1,2765.3,2328.8,1503.9,1705.3,1718.9,1058.7,610.2,286.8,266.1,447.9,140,2250,5290,7540,7670,27900,42810,52560,31130,8220,90,1390,2790,4180,4270,12490,13960,9950,5550,2180,32,598,1852,2450,2482,11799,22876,34683,20852,4859,20,260,650,910,920,3610,5970,7930,4730,1190,54674,166092,100806,266898,266898,263844,281696,285514,289705,283908,SEER,1671565,48390,97551,101.9,58.4,28.9,496,24350,170290,, 3 Oct 2024
NM,1988,11.7,79.7,194.4,124.6,126.8,220.2,178.7,107.3,46.4,11.7,4.4,25.3,48.3,34.3,35.1,44.2,27.8,17.1,10,3.9,5.7,43.3,117.7,72.4,73.5,143,123.5,73.7,29.5,6.2,764.5,583.3,410,473,477.3,308.9,224.9,232.2,337.7,622,130,2800,4400,7200,7330,12480,11350,6960,2730,570,50,890,1090,1980,2030,2500,1760,1110,590,190,63,1522,2663,4185,4248,8102,7839,4784,1740,302,20,390,640,1030,1050,1870,1740,1070,410,80,10993,35152,22621,57773,57773,56663,63497,64908,58913,48473,SEER,350227,8180,27015,118.3,77.1,23.4,302.8,6220,41420,, 3 Oct 2024
NM,1992,12.9,84.2,195.9,128.2,130.8,236.7,181.4,105.1,47.8,12.5,4.6,21.1,42.6,29.6,30.5,47.1,27.5,14.9,9.5,3.6,6.5,50.9,124.1,79.7,81.1,154.1,125.9,73.9,31.1,7.1,697,414,343.4,370.7,376.2,305.3,218.1,201.6,306.3,503.3,160,2990,4520,7510,7670,12720,10550,7250,3150,740,60,750,980,1730,1790,2530,1600,1030,630,210,80,1808,2862,4670,4750,8282,7324,5097,2048,421,20,440,670,1110,1130,1910,1620,1120,470,110,12229,35535,23053,58588,58588,53732,58151,68963,65871,59037,SEER,364342,7780,27922,115.5,76.6,21.4,278.6,6360,42060,, 3 Oct 2024
NM,1996,12.5,72.1,168.4,108.8,111.4,201.1,175.1,99.5,45.8,12.2,5,16.4,31.2,22,23.1,35.5,24.6,12.5,7.1,2.9,5.8,45.1,111.8,70.5,71.7,135.1,123.4,71.4,31.6,7.6,857.5,363.4,278.9,312.4,321.8,262.8,199.4,175.8,225.8,377.4,180,3030,4340,7370,7550,11680,9700,6760,3370,840,70,690,800,1490,1560,2060,1360,850,530,200,84,1892,2883,4775,4859,7844,6831,4851,2326,517,20,450,660,1100,1130,1770,1500,1060,520,120,14454,41965,25792,67757,67757,58068,55375,67963,73602,68237,SEER,391002,6560,27228,102,69.6,16.8,240.9,6100,39890,, 3 Oct 2024
NM,2000,10.2,63.4,164.7,102.7,104.8,203.5,170.7,108.1,48.6,12.8,3.4,15,32.9,21.9,22.6,36.7,26.3,13.8,7.5,3,5.4,39.1,107.1,65.5,66.6,135.9,118.2,77.4,33.6,7.9,633.2,382.9,306.8,334.6,339.5,269.7,222.2,179.1,224.7,378.6,150,2760,4540,7300,7450,12230,9790,6420,3430,920,50,650,910,1560,1610,2200,1510,820,530,220,78,1700,2955,4655,4733,8173,6775,4597,2373,572,20,410,680,1090,1110,1860,1510,1000,530,140,14472,43474,27592,71066,71066,60118,57327,59430,70709,72304,SEER,390954,6890,27223,102.9,69.6,17.6,253.1,6130,40250,, 3 Oct 2024
NM,2005,9.9,56.7,148.6,92.8,94.7,195.1,170.1,114.6,54.7,14.4,2.5,11.7,26.7,17.6,18.1,34.9,23.9,13.8,7.5,3,5.9,36.5,99.4,61.2,62.4,130.6,119.8,82.8,38.7,9.2,415.3,321.7,268.3,287.6,290.1,267.3,199.8,166.8,193.3,329.8,150,2520,4260,6780,6930,13400,10600,6650,3360,1030,40,520,770,1290,1320,2400,1490,800,460,220,88,1619,2852,4471,4559,8968,7464,4805,2381,658,20,380,650,1020,1040,2030,1640,1040,520,150,14800,44400,28695,73095,73095,68670,62297,58020,61496,71557,SEER,395135,6690,28835,106.2,73,16.9,232,6440,41960,, 3 Oct 2024
NM,2006,7.1,56.1,158.7,96,97.4,203.5,172.9,118.7,56.7,13.9,1.8,12.5,28.8,18.8,19.2,37.1,24.4,14.2,7.4,2.9,4.3,35.3,105.8,62.7,63.6,135.5,121.7,85.9,40.4,8.9,422.3,353.1,272.3,300.1,301.7,273.8,200.7,165.3,184.3,326.2,100,2530,4550,7080,7180,13930,11160,6900,3500,970,30,560,830,1390,1410,2540,1580,830,460,200,61,1592,3036,4628,4689,9280,7854,4995,2497,621,10,370,690,1060,1080,2110,1730,1080,550,140,14337,45071,28694,73765,73765,68471,64522,58162,61821,69764,SEER,396505,7020,29936,110.1,75.5,17.7,234.5,6690,43650,, 3 Oct 2024
NM,2007,9.9,56.5,163,98.1,100,205.4,173.7,122.3,59,12.9,3.4,12.5,30.3,19.4,20.1,38.3,24.4,14.7,8.8,3,5.1,35.7,108,63.9,64.9,136.1,122.4,88.5,41.1,8,675.4,349.8,280.5,304,309.6,281.6,199.4,166.2,214.8,370.4,140,2540,4700,7240,7380,14090,11580,7150,3690,870,50,560,870,1440,1480,2630,1630,860,550,200,72,1604,3116,4720,4792,9330,8160,5168,2572,542,20,380,710,1090,1110,2130,1790,1120,570,130,14174,44969,28842,73811,73811,68569,66683,58413,62626,67484,SEER,397586,7350,30564,112.6,76.9,18.5,240.5,6850,44760,, 3 Oct 2024
NM,2008,9.1,55.7,148.8,92.9,94.6,201.5,169.4,119.1,53.9,14.1,3.4,11.4,26.6,17.4,18.1,35.2,22.5,13.8,7.4,2.9,4.5,36,99.6,61.4,62.3,135.6,120.5,86.7,38.2,9.1,746.6,315.6,266.7,283.9,290.3,259.9,187,158.8,193.2,317.3,130,2470,4390,6870,6990,13790,11390,7090,3370,920,50,500,780,1290,1340,2410,1520,820,460,190,63,1599,2941,4540,4603,9279,8103,5155,2389,593,20,370,670,1040,1050,2100,1770,1110,520,140,13968,44395,29517,73912,73912,68422,67237,59488,62588,64964,SEER,396611,6730,30122,109.8,75.9,17,223.5,6700,43550,, 3 Oct 2024
NM,2009,8.5,53,144.4,90.3,91.9,184.4,165.6,111.6,52.8,15.8,3.6,10.9,24,16.2,16.9,30.9,21.9,13.1,7.4,4.7,3.8,34.1,98.3,60.3,61,125.3,118,80.9,37.2,8.8,958.9,320.1,243.8,269.4,277.4,246.5,185.4,162.3,198.5,537.5,120,2310,4330,6640,6760,12690,11260,6800,3300,1000,50,480,720,1200,1250,2130,1490,800,460,300,52,1486,2952,4438,4490,8625,8022,4933,2325,559,20,340,660,1010,1020,1940,1750,1070,510,140,13806,43552,30019,73571,73571,68808,67997,60951,62472,63412,SEER,397211,6420,28954,105.3,72.9,16.2,221.8,6430,41810,, 3 Oct 2024
NM,2010,6.9,46.4,129.2,80.3,81.6,173.4,155.3,111.4,55.4,14.2,2.6,9.5,23,15,15.5,29.5,20.4,13.6,7.5,3,3.3,30,86.6,53.2,53.8,117.4,110.7,80.4,39.3,9.1,792.4,315.9,265.7,282.4,288.4,251.6,184.4,169.8,189.7,335.7,100,2000,3850,5850,5940,12120,10640,7070,3420,890,40,410,690,1090,1130,2060,1400,870,460,190,46,1290,2582,3872,3918,8205,7584,5100,2429,570,10,300,590,880,900,1850,1660,1110,530,130,13783,43011,29813,72824,72824,69886,68519,63459,61812,62974,SEER,399474,6110,27806,100.4,69.6,15.3,219.8,6170,40090,, 3 Oct 2024
NM,2011,7.5,40.7,116,71.6,73,160.6,154.9,109.4,53.4,14.8,3.3,8.3,18.3,12.4,13,26.1,18.6,12.2,6.9,3.4,3.2,26.3,79.9,48.3,48.9,109.9,112,80,38.1,9.2,1034.3,316.1,228.8,256.9,266.6,237.3,166.3,152.9,181.4,364.5,100,1720,3400,5120,5220,11530,10710,7130,3250,930,50,350,540,890,930,1870,1290,800,420,210,44,1110,2342,3452,3496,7895,7744,5215,2322,584,10,260,520,780,790,1770,1680,1120,510,140,13728,42162,29311,71473,71473,71822,69126,65202,60887,63233,SEER,401743,5520,27256,96.5,67.8,13.8,202.7,6000,38780,, 3 Oct 2024
NM,2012,6.6,37.2,113.9,68.4,69.7,152.6,150.2,109.4,54.1,13.1,1.9,7.6,16.3,11.1,11.5,21.6,17.1,11.4,6.4,2.3,3.7,24,80,46.8,47.5,107.4,109.5,80.7,39.2,8.8,517,316.7,203.4,238,242.3,200.9,156.2,141.4,163.6,259.6,90,1550,3240,4790,4880,11200,10330,7280,3270,820,30,320,460,780,810,1580,1180,760,390,140,51,999,2276,3275,3326,7883,7531,5368,2373,553,10,230,500,730,750,1730,1620,1150,510,120,13760,41548,28444,69992,69992,73409,68774,66486,60493,62864,SEER,402018,4860,27034,94,67.2,12.1,179.6,5890,37780,, 3 Oct 2024
NM,2013,4.8,33.2,103,61.4,62.3,144.3,149,103.9,52.4,12.4,1.8,6,13.2,8.9,9.3,18.6,15.2,9.7,5.5,2.2,2.3,22.1,73.7,42.9,43.4,103.3,110.2,77.7,38.6,8.4,761.4,272.9,179.8,208.4,214.5,179.8,138.2,124.8,141.5,262.7,70,1360,2870,4230,4300,10740,10210,7020,3160,780,30,250,370,620,640,1380,1040,660,330,140,33,909,2050,2959,2992,7681,7552,5251,2331,522,NA,210,450,650,660,1670,1610,1120,500,120,14058,41088,27824,68912,68912,74387,68518,67581,60341,62502,SEER,402241,4190,26329,90,65.5,10.4,159.1,5680,36200,, 3 Oct 2024
NM,2014,4.6,28.2,92.8,53.9,54.8,139.8,149.2,108.4,53.6,12.4,1.7,5.3,12.8,8.3,8.6,17.5,15.2,9.6,5.5,2,2.2,18.7,65.6,37.3,37.8,100.5,110.4,81.5,39.6,8.5,794,283.5,195.2,221.9,228.8,174.4,138.2,117.1,138.1,228.9,60,1160,2510,3670,3740,10340,10190,7370,3260,760,20,220,350,560,590,1300,1040,650,330,120,31,768,1775,2543,2574,7431,7537,5544,2413,521,NA,180,390,570,570,1620,1610,1170,520,120,14090,41105,27063,68168,68168,73961,68285,67987,60883,61086,SEER,400370,4030,26020,89.1,65,10.1,154.8,5610,35650,, 3 Oct 2024
NM,2015,3.5,25.3,88.6,50,50.7,138.3,150,110.8,55.4,12.6,1.6,4.7,13.9,8.3,8.6,18.1,15,10.3,5.5,2.4,1.4,16.7,61.1,34,34.3,98.6,111.3,82.8,41.1,8.2,1106.2,282.9,227.3,244,251.3,183.5,134.6,124.8,134.1,294.8,50,1050,2360,3410,3450,10030,10260,7540,3430,750,20,200,370,570,590,1310,1030,700,340,150,20,694,1626,2320,2340,7157,7613,5638,2544,494,NA,160,360,520,530,1560,1630,1200,540,110,13876,41531,26610,68141,68141,72562,68405,68061,61924,59991,SEER,399084,4120,25786,88.9,64.6,10.3,159.7,5570,35470,, 3 Oct 2024
NM,2016,3.7,23.6,77.8,44.6,45.4,131.1,145.1,110,55.9,13.5,1.8,5.2,13.3,8.3,8.7,18.6,15.6,9.9,6.3,2.4,1.5,14.9,52.7,29.6,29.9,92.2,106.6,82.6,40.8,9,1194.8,347.7,252.2,281.7,290.6,201.9,146.4,119.8,155.2,270.5,50,990,2060,3050,3100,9280,10010,7500,3540,790,20,220,350,570,590,1320,1080,670,400,140,20,624,1395,2019,2039,6527,7353,5632,2580,530,NA,150,310,460,470,1440,1580,1190,560,120,13496,41822,26481,68303,68303,70817,68988,68190,63305,58838,SEER,398441,4210,24661,85.9,61.9,10.6,170.5,5350,34220,, 3 Oct 2024
NM,2017,3.1,22.4,70.5,41.4,42,123.4,140.1,106.7,55.2,13.2,1.5,4.9,10.7,7.2,7.5,16.6,14.5,9.8,5.8,2.3,1.2,14.1,48.9,27.9,28.1,87.7,103.5,79.9,40.6,8.9,1223.2,349.4,218.4,258.5,267.1,188.9,139.9,122.7,142.6,257.6,40,920,1890,2810,2860,8520,9770,7220,3560,770,20,200,290,490,510,1140,1010,660,370,130,17,581,1315,1896,1913,6054,7213,5406,2624,519,NA,140,290,430,430,1330,1540,1150,560,120,13750,41139,26882,68021,68021,69051,69721,67636,64555,58342,SEER,397326,3830,23729,82.3,59.7,9.7,161.6,5130,32690,, 3 Oct 2024
NM,2018,2.4,18.8,69.2,38.9,39.4,118,136.3,107.3,54.1,13.5,NA,4.9,11.9,7.7,7.9,16.5,13.9,10.1,5.2,2.4,1.4,11.1,46.8,25.3,25.6,83.3,100.8,80.1,40.3,9,NA,444,254.9,304.8,306.9,197.8,138.1,126.6,129.4,265.6,30,770,1880,2650,2680,8000,9550,7210,3560,790,NA,200,320,530,530,1120,980,680,340,140,19,455,1269,1724,1743,5641,7064,5381,2653,528,NA,110,290,400,400,1240,1510,1140,560,120,13580,40878,27135,68013,68013,67759,70067,67141,65833,58568,SEER,397381,3790,23010,80,57.9,9.5,164.8,4980,31780,, 3 Oct 2024
NM,2019,3.5,18.3,66.8,37.7,38.4,116.8,134.1,109.9,54,12.6,1.6,4.8,11.9,7.7,8,16.9,13.4,9.5,5.8,1.8,1.4,10.8,44.8,24.4,24.7,81.8,99.5,82.9,39.7,8.8,1127.7,446.4,265.1,313.3,323,206.6,135.2,114.4,146.3,202.7,50,750,1820,2560,2610,7870,9420,7380,3610,750,20,200,320,520,540,1140,940,640,390,110,20,441,1218,1659,1679,5513,6983,5566,2656,526,NA,110,280,380,390,1220,1490,1180,570,120,13824,40720,27197,67917,67917,67393,70210,67151,66907,59463,SEER,399041,3760,22923,79.3,57.4,9.4,163.9,4960,31640,, 3 Oct 2024
NM,2020,2.7,15.6,62.1,34,34.5,114.8,130.7,104.4,52.7,12.9,1.6,4,11.5,7,7.3,18.4,14.7,10,5.9,1.9,0.8,9.3,41.2,21.9,22.1,78.8,95.4,77.9,38.6,8.9,2010.8,431.9,278.4,318,330.4,233.8,154.2,128.5,151.8,217,40,640,1660,2300,2340,7770,9050,7100,3560,780,20,170,310,470,490,1250,1020,680,400,120,11,383,1102,1485,1496,5330,6609,5290,2604,545,NA,90,250,340,350,1190,1420,1130,560,120,13785,41062,26716,67778,67778,67674,69273,67950,67486,60894,SEER,401055,3950,21874,76.3,54.5,9.9,180.7,4770,30600,, 3 Oct 2024
NY,1988,19.9,75.6,163.5,112.8,116.2,193,192.9,138.4,60.1,14,12.8,41.6,83.4,59.3,61.5,79.5,51.7,30.3,16.4,5.3,4.9,24.9,59.8,39.6,40.5,88,113.3,87.6,35.1,6.8,2607.5,1673.9,1395.6,1496.3,1519,903.8,456.8,346,467.6,783.5,2200,28550,45290,73840,76040,144160,154730,107760,43060,8850,1410,15710,23110,38820,40230,59380,41520,23590,11750,3360,540,9388,16559,25947,26487,65702,90881,68172,25116,4292,250,3450,5620,9070,9320,19080,22330,15990,6200,1190,110258,377495,277029,654524,654524,747015,802288,778485,716096,630312,SEER,4328720,179830,280650,123.5,64.8,41.5,640.8,74110,534590,, 3 Oct 2024
NY,1992,21.1,79.3,174.7,117.9,122.1,205,203.9,151.1,71.9,17,13,41,84.5,58.6,61.2,89,60.8,36.1,19.6,6.2,5.7,28.5,68.1,44.5,45.6,89.3,114.1,92.9,42,8.5,2294.7,1439.7,1242.1,1317.3,1341.4,997,532.9,388.4,466.4,737.7,2390,26880,40300,67190,69580,141070,156010,123280,53970,11780,1470,13900,19510,33410,34880,61240,46540,29420,14690,4320,641,9658,15705,25363,26004,61422,87346,75758,31503,5854,280,3320,5090,8410,8690,18410,22120,18090,7770,1600,113220,339209,230742,569951,569951,688133,765201,815714,750892,692481,SEER,4282372,191100,287887,129.8,67.2,44.6,663.8,76690,555670,, 3 Oct 2024
NY,1996,15.7,66.7,158.3,103.2,106.4,189.8,181.1,147.8,73.4,18.4,9.8,34.1,74.8,50.3,52.3,79.9,55.2,33.2,18.2,5.9,4.1,24.4,63.4,39.9,40.8,84.9,100.3,92.8,44.5,9.9,2369.8,1396.9,1179.5,1259.4,1282.2,940.3,550.1,357.3,409,599.7,1910,23990,37730,61730,63640,113650,131120,117190,58350,13290,1190,12250,17820,30070,31260,47830,39960,26280,14460,4290,502,8767,15109,23876,24378,50866,72637,73567,35366,7149,220,2980,4800,7780,8000,14960,18520,17340,8520,1860,121913,359628,238343,597971,597971,598790,723873,792683,795107,722097,SEER,4230521,164080,263963,117.5,62.4,38.8,621.6,69200,497240,, 3 Oct 2024
NY,2000,12.3,56.9,139.9,90.5,92.9,184.7,181.8,155,80,21.2,8.1,31.4,67.5,46,47.6,77.5,55.7,34.9,19.4,6.5,2.8,18.7,54.7,33.2,33.8,82.8,100.5,97.2,48.9,11.7,2873.3,1681.9,1234.3,1384.1,1409.1,936.4,554.3,359,396.4,555.3,1550,21220,35360,56580,58130,115390,120200,114240,63450,16350,1020,11700,17060,28770,29790,48450,36820,25720,15370,5010,355,6958,13825,20783,21138,51741,66418,71626,38785,9029,170,2560,4470,7030,7210,15190,16970,16900,9290,2310,125802,372746,252674,625420,625420,624776,661187,737160,793110,770921,SEER,4212574,161160,258737,115.8,61.4,38.3,622.9,67860,487760,, 3 Oct 2024
NY,2005,9.9,46.1,120.2,75.4,77.4,169.8,174.3,159.8,88.5,23.9,6.9,27.4,60.6,40.5,41.9,71.2,53.5,35,20.1,7.2,2,13.3,44.6,25.7,26.1,76.2,96.2,101.1,55.3,13.4,3522.5,2060.4,1359.2,1578.8,1608.1,933.6,556.8,345.9,363.7,536.6,1320,18530,31600,50120,51450,110400,115690,104060,63230,18370,920,11010,15930,26950,27870,46280,35540,22770,14370,5510,261,5345,11723,17068,17329,49572,63833,65840,39517,10260,140,2170,3940,6110,6250,14540,16320,15450,9340,2600,133357,402075,262951,665026,665026,650289,663807,651342,714428,768261,SEER,4113153,152340,246351,112.6,59.9,37,618.4,64500,463200,, 3 Oct 2024
NY,2006,8.8,44.7,119.5,74.3,76,169.5,174.9,162.4,89.5,23.7,6.1,26.6,58.5,39.2,40.4,68.7,52.4,34.8,19.4,6.7,1.7,12.9,46,26,26.3,78.2,97.7,103.4,56.8,13.6,3642.7,2070.7,1272.5,1511.4,1537.9,878.7,536.2,336.2,340.6,490.4,1150,18150,31770,49930,51070,111060,117710,102290,63000,17830,800,10810,15550,26360,27160,45040,35260,21900,13630,5030,220,5220,12222,17442,17662,51261,65762,65160,40010,10249,120,2120,4000,6120,6250,14760,16680,15220,9360,2550,130724,406058,265792,671850,671850,655210,672948,629903,704167,752639,SEER,4086717,148030,250104,113.3,61.2,36.2,591.9,64820,462950,, 3 Oct 2024
NY,2007,8.6,42.9,117.2,72.7,74.3,166.5,175.8,164.2,90.2,23.2,6.2,24.8,56.9,37.6,38.8,66.5,51,33.7,19.3,6.8,1.5,13,45.5,26,26.3,77.7,99.7,106,57.5,13.1,4050.1,1905,1248.4,1445.3,1473.5,856.1,511.6,317.9,335.4,515.8,1090,17420,31740,49160,50250,110640,119000,102870,62170,17070,780,10070,15400,25470,26250,44230,34540,21100,13290,4980,193,5285,12336,17621,17814,51659,67509,66378,39626,9657,120,2060,4010,6070,6190,14750,16960,15390,9250,2430,127035,405793,270829,676622,676622,664639,676978,626341,689503,734997,SEER,4069080,144390,252643,113.5,62.1,35.5,571.5,64970,462000,, 3 Oct 2024
NY,2008,9.1,42.2,113.8,71.7,73.4,164.9,173.2,164.6,92.2,24.3,6.2,24.4,55.9,37.4,38.5,67.3,52.2,36,20.4,7.3,2,12.8,43.6,25.5,25.9,75.7,96.5,104.2,58.1,13.5,3145.6,1903.3,1281.6,1464.7,1488.1,889.5,540.5,344.9,351.8,538,1140,16770,31830,48600,49740,111300,119090,103820,62080,17410,770,9690,15630,25320,26090,45450,35870,22670,13760,5230,244,5091,12198,17289,17533,51093,66359,65736,39119,9718,130,1990,4000,5990,6120,14760,16860,15410,9200,2470,124349,397803,279810,677613,677613,675030,687715,630631,673509,717856,SEER,4062354,149070,249558,114.1,61.4,36.7,597.3,64820,463450,, 3 Oct 2024
NY,2009,8.6,39.8,107.2,68.1,69.7,157.5,169.2,163.7,91.4,25,6,23,52.7,35.5,36.6,64.3,50.5,34.8,19.8,7.3,1.7,12,41,24.2,24.5,72.3,94.8,104.5,58,14.1,3609.2,1914,1283.8,1465.6,1492.6,889.8,532.3,332.5,340.5,514.3,1080,15550,30310,45850,46930,108390,117940,104950,59870,17450,750,9000,14900,23900,24650,44270,35160,22280,12950,5080,208,4703,11603,16306,16514,49746,66055,67029,38023,9880,120,1840,3810,5650,5770,14380,16730,15630,8900,2480,124523,390613,282788,673401,673401,688014,696897,641198,655268,699158,SEER,4053936,144390,247247,112.4,61,35.6,584,63890,455520,, 3 Oct 2024
NY,2010,8.1,36.3,100.8,63.3,64.8,150.9,163.6,161.7,93.4,25.3,5.7,20.7,49.3,32.7,33.7,62.4,48.4,33.8,19.7,7.3,1.5,11.3,38.8,22.8,23.1,68.6,92,103.7,59.8,14.4,3727.2,1836.3,1272.2,1434,1461.7,909.5,526.5,326.3,329.9,505.1,980,13970,28040,42010,42990,105730,114850,105420,59460,17440,690,7970,13720,21690,22380,43700,33990,22070,12550,5020,185,4338,10788,15126,15311,48047,64552,67621,38049,9935,110,1660,3530,5190,5300,13980,16310,15730,8860,2490,121293,385318,278289,663607,663607,700623,701932,652109,636435,690687,SEER,4045393,139700,243515,110.2,60.2,34.5,573.7,62670,445890,, 3 Oct 2024
NY,2011,6.8,32.7,94,58.5,59.7,144.8,160.6,159.7,95.2,25.2,4.5,18.7,46,30.2,31,60.6,47,33.4,20.2,7.2,1.5,10.1,36.2,21.1,21.3,65.1,90.8,102.4,60.8,14.4,2978.1,1844.3,1272.7,1432,1452,931.1,517.5,325.9,332,497.7,810,12340,25730,38070,38880,102670,114400,106190,59030,17320,540,7050,12590,19640,20180,42980,33460,22200,12520,4930,180,3823,9895,13718,13898,46161,64659,68134,37713,9912,90,1470,3240,4710,4800,13530,16280,15850,8790,2480,119231,377566,273670,651236,651236,709058,712417,665074,619902,686350,SEER,4044037,136280,240477,108.4,59.5,33.7,566.7,61720,438480,, 3 Oct 2024
NY,2012,6.2,28.9,84.2,52.3,53.5,138.3,154.5,158.5,96.1,25.7,4,15.9,40,26.1,26.8,55.8,44.1,31.6,19.4,7,1.5,9.5,33.5,19.7,20,64.1,88.3,103.1,62.2,15,2598.6,1665.2,1194.8,1326,1343.8,870.5,498.9,306.9,312.1,467.9,730,10640,22830,33480,34200,98220,111320,107030,59200,17380,470,5850,10850,16700,17160,39630,31760,21360,11970,4740,179,3511,9081,12592,12771,45525,63656,69613,38360,10136,80,1290,2900,4190,4270,13070,15910,16060,8870,2500,117662,368716,271020,639736,639736,710058,720633,675098,616267,675192,SEER,4036984,126630,240061,105.9,59.5,31.4,527.5,60670,427360,, 3 Oct 2024
NY,2013,4.9,24.1,74.8,45.7,46.6,130.6,148.5,154.9,95.6,25.5,3.3,12.9,34.7,22.2,22.8,51.7,41.3,29.6,18.1,6.8,1.1,8.3,30.5,17.7,17.9,61.4,85.9,102,63.1,15.1,3076.1,1564,1135.2,1250,1270.3,841.7,481.1,290.4,286.9,449.5,570,8700,19950,28650,29230,92550,108190,106100,59070,16840,380,4660,9250,13910,14290,36640,30100,20280,11180,4470,125,2980,8148,11128,11253,43532,62563,69828,38972,9938,60,1060,2550,3620,3680,12370,15520,15990,8910,2430,116174,360646,266862,627508,627508,708539,728561,684920,617664,659494,SEER,4026686,116970,236086,102.3,58.6,29,495.4,58910,411970,, 3 Oct 2024
